,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
31096454,alzheimer disease,depressive,patients,depressive disorder,alzheimer disease,AD,patients,patients,depressive disorder,patients,depression,depression,patients,AD,patients,depression,AD,patients,depression,AD,AD,patients,depression,artery diseases,AD,depressive disorder,AD,patients,depressed,patients,AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30424813,cholinesterase,poisoning,cholinesterase,poisoning,organophosphate,carbamate,poisoning,neurological symptoms,respiratory failure,ci poisoning,organophosphate,carbamate,poisoning,patients,acute ci poisoning,ci poisoning,patients,ci poisoning,respiratory failure,patients,patients,patients,respiratory failure,patients,pneumonia,pneumonia,ci poisoning,cholinesterase,poisoning,patients,poisoning,pneumonia,poisoning,diabetes mellitus,patients,ci poisoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30608587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28515189,patients,hypercholesterolaemia,cardiovascular disease,CVD,atorvastatin,simvastatin,rosuvastatin,patients,cerebrovascular events,people,diabetes,people,myopathy,liver injury,atorvastatin,patients,CVD,diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30833322,dementia,parkinson's disease,dementia,parkinson's disease,PD,dementia,patients,PD,PARTICIPANTS,patients,PD,PD,dementia,dementia,PD,dementia,dementia,PD,person,,dementia,PD,person,men,women,dementia,PD,men,PD,patients,dementia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28752508,ischemic stroke,ischemic stroke,patients,patients,stroke,AHA,intracerebral hemorrhage,SICH,stroke,patients,stroke,diabetes,SICH,stroke,patients,AHA,ASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31096476,diabetes mellitus,carbohydrate,insulin,insulin,type 2 diabetes mellitus,thyroid disorders,thyroid disease,hypo-thyroidism,patients,patients,thyroid disease,thyroid disease,thyroid disease,hyperthyroidism,hypothyroidism,thyroid disease,hyperthyroidism and hypothyroidism,patients,thyroid disease,patients,patients,thyroid dysfunctions,thyroid dysfunctions,blood sugar,patients,thyroid diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29465594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30521995,stroke,epilepsy,patients,stroke,epileptic,patients,epilepsy,stroke,patients,patients,epilepsy,stroke,stroke,patients,epilepsy,persons,epilepsy,stroke,patients,stroke,stroke,stroke,patients,epilepsy,epilepsy,epileptic,stroke,epilepsy,stroke,stroke,patients,epilepsy,pneumonia,urinary tract infection,stroke,epileptic,patients,stroke,stroke,stroke,epileptic,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28077135,borderline personality disorder,personality disorder,people,psychiatric disorders,patients,patients,patients,psychiatric,patients,psychiatric,patients,patients,congenital anomalies,psychiatric,depressive disorder,bipolar disorder,anxiety disorder,sleep disorder,mental retardation,patients,patients,psychiatric disorders,patients,patients,psychiatric,people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31273352,breast cancer,women,women,breast cancer,breast cancer,patients,fluorine-18-fluorodeoxyglucose,breast cancer metastases,breast cancer,breast cancer,patients,breast cancer,patients,late-stage breast cancer,breast cancer,late-stage breast cancer,women,late-stage breast cancer,women,breast cancer,breast cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27332431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31870361,patient,patients,patients,patient,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27172935,teriparatide,fracture,osteoporosis,teriparatide,patients,osteoporosis,fractures,teriparatide,patients,osteoporosis,teriparatide,fracture,patients,vertebral,hip fractures,teriparatide,teriparatide,teriparatide,fracture,patients,teriparatide,patients,patients,fracture,patients,fracture,teriparatide,patients,osteoporosis,fractures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28361405,codeine,children,codeine,codeine,codeine,upper respiratory infection,cough,codeine,cough visits,codeine,children,cough visits,patient,codeine,codeine,codeine,children,codeine,children,codeine,codeine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29908766,social participation,people,social participation,social participation,social participation,social participation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28884784,zolpidem,alzheimer's disease,people,zolpidem,alzheimer's disease,people,PARTICIPANTS,patients,zolpidem,patients,zolpidem,zolpidem,zolpidem,cddd,patients,cddd,alzheimer's disease,alzheimer's disease,alzheimer's disease,zolpidem,alzheimer's disease,zolpidem,cddd,alzheimer's disease,zolpidem,cddd,zolpidem,alzheimer's disease,people,zolpidem,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28558029,anterior cruciate ligament injury,osteoarthritis,osteoarthritis,patients,patients,patients,patients,patients,patients,traumatic knee injury,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28963293,hip fracture,stroke,thiazide,hip fracture,stroke,PARTICIPANTS,patients,ischaemic stroke,patients,thiazides,hip fractures,stroke,patients,thiazides,stroke,hip fracture,thiazides,person,thiazide,hip fracture,thiazides,patients,thiazides,thiazides,stroke,hip fracture,patients,thiazide,thiazides,hip fracture,stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28679673,dementia,patients,non-haemorrhagic stroke,dementia,patients,stroke,patients,stroke,PARTICIPANTS,patients,stroke,dementia,patients,stroke,dementia,dementia,ischaemic stroke,stroke,patients,stroke,poststroke dementia,patients,non-haemorrhagic stroke,dementia,dementia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27491287,granulocyte colony-stimulating factor,febrile neutropenia,breast cancer,non-hodgkin's lymphoma,patients,granulocyte colony-stimulating factor,G-CSF,febrile neutropenia,G-CSF,breast cancer,non-hodgkin's lymphoma,NHL,patients,patients,G-CSF,G-CSF,G-CSF,G-CSF,breast cancer,NHL,patients,patients,breast cancer,NHL,cancer,patients,G-CSF,breast cancer,NHL,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30947595,gatekeepers,women,patients,onion,patients,hypertension,patients,diabetes mellitus,patients,hyperlipidemia,patients,chronic disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29861208,patients,allergic rhinitis,people,allergic rhinitis,patients,allergic rhinitis,patients,allergic rhinitis,patients,allergic rhinitis,women,people,allergic rhinitis,patients,allergic rhinitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28219357,herbal medicine,liver cancer,patients,hepatocellular carcinoma,cancer,herbal medicine,CHM,patients,CHM,patients,CHM,patients,chms,person,patients,oldenlandia diffusa,bai-hua,rhizoma rhei,da huang,chms,patients,CHM,CHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29488144,dementia,patients,hsv infections,dementia,hsv infections,hsv infections,dementia,dementia,hsv-infected,patients,hsv infections,dementia,dementia,patients,hsv infections,hsv infections,dementia,patients,hsv infections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28494994,patients,patient,children,patients,patients,patients,allergic diseases,rvs,patients,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27991418,psychiatric,psychiatric,public psychiatric,public psychiatric,patients,schizophrenia,patients,psychiatric,a failure,people,psychiatric,patients,psychiatric,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28100075,incontinence,alzheimer's disease,incontinence,dementia,dementia,alzheimer's disease,AD,dementia,incontinence,AD,incontinence,patients,AD,patients,AD,patients,AD,participants,rivastigmine,donepezil,galantamine,memantine,patients,AD,AD,AD,patients,AD,patients,AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28213305,psychiatric,people,people,psychiatric,psychiatric,people,people,psychiatric,psychiatric,outpatient,psychiatric,psychiatric,psychiatric,people,psychiatric,psychiatric,psychiatric,outpatient,psychiatric,depression,bipolar disorder,patients,cancer,psychiatric,people,people,psychiatric,psychiatric,outpatient,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29481993,valproic acid,cancers in bipolar disorder,patients,carcinogenesis of many cancers,valproic acid,VPA,cancers,patients,bipolar disorder,VPA,lithium,patients,VPA,lithium,cancer,cancer,bipolar disorder,patients,VPA,lithium,genitourinary cancer,cancers,VPA,cancer,bipolar disorder,patients,cancer,cancer,genitourinary cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27348711,allergic rhinitis,patients,allergic rhinitis,patients,allergic rhinitis,patients,allergic rhinitis,allergic rhinitis,patients,persons,allergic rhinitis,person,person,person,person,person,person,person,person,patients,allergic rhinitis,person,ephedra sinica stapf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31167441,cancer,cancer,cancer,cancer,cancer,labor,cancer,cancer,person,cancer,cancer,breast cancer,colon cancer,tracheal cancers,oral cancer,cervical cancer,liver and intrahepatic cholangiocarcinoma,cancer,deaths,person,cancer,labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29219938,chronic disease,chronic diseases,chronic diseases,stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30987264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29415688,dementia,patients,primary insomnia,insomnia,dementia,patients,insomnia,insomnia,participants,patients,depression,traumatic stress disorder,sleep disorders,organic lesion,alcohol,insomnia,dementia,insomnia,diabetes,dyslipidemia,hypertension,coronary heart disease,chronic liver disease,chronic kidney disease,primary insomnia,dementia,dementia,dementia,patients,patients,primary insomnia,dementia,insomnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30313049,patients,acute pancreatitis,pancreatitis,patients,pancreatitis,pancreatitis,pancreatitis,patients,acute pancreatitis,patients,pancreatitis,patients,pancreatitis,,patients,acute pancreatitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30648314,patient,patients,patients,patients,patients,cancer,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27176745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31383022,diabetes mellitus,diabetes mellitus,DM,DM,participants,DM,DM,hypertension,hyperlipidemia,hyperuricemia,coronary artery disease,congestive heart failure,hyperthyroidism,hypothyroidism,polycystic ovary syndrome,DM,DM,DM,DM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29704659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30586400,participant,DCE,participants,C-TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30122581,herbal medicine,anemia,herbal medicine,CHM,patients,anemia,CHM,CHM,anemia,patients,anemia,patients,as,CHM,CHM,patients,anemia,patients,anemia,CHM,anemia,patients,kidney diseases,diabetes mellitus,hypertensive diseases,CHM,coronary artery disease,CHM,astragalus membranaceus,AM,CHM,AM,salvia miltiorrhiza,SM,angelica sinensis,AS,as,CHM,CHM,as,patients,anemia,anemia,CHM,anemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29194539,CHCG,person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27585979,patients,mental illness,patients,mental illness,patients,mental illness,patients,mental illness,mental illness,patients,mental illness,mental illness,alcohol psychoses,senile dementia,organic psychoses,mood disorder,schizophrenic,patients,patients,mental illness,patients,mental illness,patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31300322,diabetes mellitus,diabetes mellitus,DM,DM,DM,DM,outpatient,DM,DM,DM,patients,DM,men,women,DM,DM,patients,diabetic,DM,DM,people,DM,men,obesity,men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31164130,outpatient,children,autism,children,autism,children,ASC,ASC,children,children,patient,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30264375,patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32228808,2019 novel coronavirus disease,2019 novel coronavirus disease,COVID-19,COVID-19,coronavirus,acute respiratory syndrome,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31433202,patients,acupuncture,acupuncture,,chronic bronchitis,emphysema,,pneumonia,tuberculosis,,lung cancer,,men,women,patients,lung disease,bronchitis,emphysema,tuberculosis,lung cancer,pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28911662,chronic hepatitis,chronic liver disease,patients,patients,liver disease,dan,chronic hepatitis,chronic hepatitis,patient,hepatitis,patients,chronic hepatitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28594092,anxiety,depression,women,anxiety,depression,women,women,anxiety,depression,stress symptoms,IRR,anxiety,IRR,depression,IRR,person,IRR,stress symptoms,women,women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31267646,stroke dementia,dementia,patients,stroke,patients,stroke,dementia,cox,dementia,stroke,dementia,patients,ischemic stroke,ischemic,intracerebral hemorrhage,dementia,dementia,stroke,ischemic stroke,ischemic,intracerebral hemorrhage,dementia,stroke dementia,stroke dementia,stroke,stroke dementia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31029265,patients,patients,patient,patients,patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30075592,patients,knee osteoarthritis,patients,people,women,men,patient,arthritis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31477104,outpatient,outpatient,participants,outpatient,women,men,outpatient,men,women,outpatient,women,outpatient,women,women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31248659,outpatient,insulin,insulin,sulfonylureas,sus,metformin,dipeptidyl peptidease-4,DPP4,insulin,SU,metformin,DPP4,OAD,sus,metformin,DPP4,metformin-su,OAD,metformin,DPP4,human,insulin,insulin,insulin,insulin,insulin,insulin,antidiabetic,insulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27052114,cancer,cancer,death,urologic cancers,cancer,bladder and kidney cancers,metastatic prostate cancer,urothelial carcinoma,arseniasis,aristolochic acid,urologic cancer,urologic cancer,cancer,cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31536611,autoimmune diseases,breast cancer,patients,breast cancer,malignancies,women,autoimmune diseases,breast cancer,patients,autoimmune diseases,MAD,systemic lupus erythematosus,SLE,rheumatoid arthritis,RA,sjogren's syndrome,dermatomyositis (dmtis)/polymyositis,breast cancer,patients,breast cancer,patients,breast cancer,autoimmune diseases,autoimmune diseases,breast cancer,patients,breast cancer,breast cancer,breast cancer,SLE,breast cancer,women,RA,breast cancer,women,breast cancer,women,breast cancer,patients,SLE,RA,breast cancer,patients,SLE,RA,breast cancer,dmtis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26731557,neurodevelopmental disorders,neurodevelopmental disorders,children,neurodevelopmental disorders,neuropsychiatric,children,attention deficit hyperactivity disorder,autism spectrum disorder,ASD,cerebral palsy,neurocognitive disorders,human,attention deficit hyperactivity disorder,autism spectrum disorder,neurodevelopmental disorders,children,children,dementia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29501070,attention-deficit hyperactivity disorder,attention-deficit hyperactivity disorder,ADHD,psychiatric,ADHD,ADHD,ADHD,ADHD,ADHD,men,women,methylphenidate,atomoxetine,methylphenidate,men,ADHD,ADHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30479027,carbamazepine,cutaneous adverse reactions,HLA-B,HLA-B,carbamazepine,cutaneous adverse reactions,carbamazepine,carbamazepine,carbamazepine,HLA-B,carbamazepine,HLA-B,carbamazepine,HLA-B,carbamazepine,carbamazepine,HLA-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31799935,patient,patient,patients,patients,patient,patients,patients,patients,patients,patients,patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29033109,stroke,stroke,patients,cerebrovascular disease,stroke,stroke,patients,patients,stroke,stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30466187,psychiatric disorders,rosacea,psychiatric disorders,rosacea,psychiatric diseases,rosacea,psychiatric disorders,patients,rosacea,patients,rosacea,psychiatric disorders,psychiatric disorders,patients,rosacea,phobic disorder,obsessive-compulsive disorder,rosacea,rosacea,psychiatric disorders,anxiety and depression,patients,phobic disorder,obsessive-compulsive disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30648239,malnutrition,infections,inflammation reactions,people,periodontal disease,tooth loss,chronic diseases,people,children,periodontal disease,tooth loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30760249,migraine,open angle glaucoma,migraine,endothelial dysfunction,systemic vasculopathy,systemic vascular diseases,glaucoma,patients,migraine,glaucoma,patients,glaucoma,open angle glaucoma,migraineurs,migraine,migraineurs,migraineurs,person,migraineurs,hyperlipidemia,diabetes mellitus,migraineurs,patients,migraineurs,migraine,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31752791,children,children,patients,injury or disorders of the musculoskeletal system,cerebral palsy,psychoses,children,injury and musculoskeletal system disorders,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30274936,diabetes,diabetes,diabetes,people,diabetes,diabetes,diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31239301,patients,patients,patients,PARTICIPANTS,cancer,haematological malignancy,cancer,heart diseases,patients,AIDS,patients,chronic kidney disease,tuberculosis,diabetes,death,liver diseases,hypothyroidism,dementia,epilepsy,death,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27073041,a diabetes,diabetes,diabetes,participants,patients,diabetes,PARTICIPANTS,patients,diabetes,patients,diabetes,patients,patients,patients,diabetes,participant,diabetes,diabetes,diabetes,diabetes,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
