PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30579140","Effects of National Health Insurance on household out-of-pocket expenditure structure","Ku YC, Chou YJ, Lee MC, Pu C.","Soc Sci Med. 2019 Feb;222:1-10. doi: 10.1016/j.socscimed.2018.12.010. Epub 2018 Dec 8.","Ku YC","Soc Sci Med","2019","2018/12/23","","","10.1016/j.socscimed.2018.12.010"
"29873710","Assessing the relationship between healthcare market competition and medical care quality under Taiwan's National Health Insurance programme","Liao CH, Lu N, Tang CH, Chang HC, Huang KC.","Eur J Public Health. 2018 Dec 1;28(6):1005-1011. doi: 10.1093/eurpub/cky099.","Liao CH","Eur J Public Health","2018","2018/06/07","","","10.1093/eurpub/cky099"
"31480260","The Impacts of the Hierarchical Medical System on National Health Insurance on the Resident's Health Seeking Behavior in Taiwan: A Case Study on the Policy to Reduce Hospital Visits","Yan YH, Kung CM, Yeh HM.","Int J Environ Res Public Health. 2019 Aug 30;16(17):3167. doi: 10.3390/ijerph16173167.","Yan YH","Int J Environ Res Public Health","2019","2019/09/05","PMC6747353","","10.3390/ijerph16173167"
"27783332","Achieving and Sustaining Universal Health Coverage: Fiscal Reform of the National Health Insurance in Taiwan","Lan JY.","Appl Health Econ Health Policy. 2017 Dec;15(6):717-731. doi: 10.1007/s40258-016-0286-6.","Lan JY","Appl Health Econ Health Policy","2017","2016/10/27","","","10.1007/s40258-016-0286-6"
"30323577","Validity of ICD9-CM codes to diagnose chronic obstructive pulmonary disease from National Health Insurance claim data in Taiwan","Ho TW, Ruan SY, Huang CT, Tsai YJ, Lai F, Yu CJ.","Int J Chron Obstruct Pulmon Dis. 2018 Oct 2;13:3055-3063. doi: 10.2147/COPD.S174265. eCollection 2018.","Ho TW","Int J Chron Obstruct Pulmon Dis","2018","2018/10/17","PMC6174682","","10.2147/COPD.S174265"
"29693571","Influence of Latitude on the Prevalence of Kawasaki Disease: A Retrospective Cohort Study from the Taiwan National Health Insurance Database and Review of the Literature","Chang CL, Wong CS, Yang YC, Chiu NC.","Int J Environ Res Public Health. 2018 Apr 25;15(5):845. doi: 10.3390/ijerph15050845.","Chang CL","Int J Environ Res Public Health","2018","2018/04/26","PMC5981884","","10.3390/ijerph15050845"
"28445277","Cancer studies based on secondary data analysis of the Taiwan's National Health Insurance Research Database: A computational text analysis and visualization study","Chiang JK, Lin CW, Wang CL, Koo M, Kao YH.","Medicine (Baltimore). 2017 Apr;96(17):e6704. doi: 10.1097/MD.0000000000006704.","Chiang JK","Medicine (Baltimore)","2017","2017/04/27","PMC5413242","","10.1097/MD.0000000000006704"
"28752507","Intravenous Alteplase for Acute Ischemic Stroke in Taiwan: Can We Expand the National Health Insurance's Reimbursement Criteria?","Hsieh CY.","Acta Neurol Taiwan. 2017 Mar 15;26(1):1-2.","Hsieh CY","Acta Neurol Taiwan","2017","2017/07/29","","",""
"29730247","Health Expenditure Growth under Single-Payer Systems: Comparing South Korea and Taiwan","Cheng SH, Jin HH, Yang BM, Blank RH.","Value Health Reg Issues. 2018 May;15:149-154. doi: 10.1016/j.vhri.2018.03.002. Epub 2018 May 4.","Cheng SH","Value Health Reg Issues","2018","2018/05/07","","","10.1016/j.vhri.2018.03.002"
"26809492","Patterns of outpatient care utilization by seniors under the National Health Insurance in Taiwan","Hsu WC, Hsu YP.","J Formos Med Assoc. 2016 May;115(5):325-34. doi: 10.1016/j.jfma.2015.12.001. Epub 2016 Jan 19.","Hsu WC","J Formos Med Assoc","2016","2016/01/27","","","10.1016/j.jfma.2015.12.001"
"30276766","[Health Without Boundaries]","Huang YC.","Hu Li Za Zhi. 2018 Oct;65(5):4. doi: 10.6224/JN.201810_65(5).01.","Huang YC","Hu Li Za Zhi","2018","2018/10/03","","","10.6224/JN.201810_65(5).01"
"28802331","Preliminary physician and pharmacist survey of the National Health Insurance PharmaCloud system in Taiwan","Tseng YT, Chang EH, Kuo LN, Shen WC, Bai KJ, Wang CC, Chen HY.","Comput Methods Programs Biomed. 2017 Oct;149:69-77. doi: 10.1016/j.cmpb.2017.07.004. Epub 2017 Jul 18.","Tseng YT","Comput Methods Programs Biomed","2017","2017/08/14","","","10.1016/j.cmpb.2017.07.004"
"29272763","Developing an adequate supply of health services: Taiwan's path to Universal Health Coverage","Lu JR, Chiang TL.","Soc Sci Med. 2018 Feb;198:7-13. doi: 10.1016/j.socscimed.2017.12.017. Epub 2017 Dec 15.","Lu JR","Soc Sci Med","2018","2017/12/23","","","10.1016/j.socscimed.2017.12.017"
"29624580","Estimating the response and economic burden of rheumatoid arthritis patients treated with biologic disease-modifying antirheumatic drugs in Taiwan using the National Health Insurance Research Database (NHIRD)","Shi Q, Li KJ, Treuer T, Wang BCM, Gaich CL, Lee CH, Wu WS, Furnback W, Tang CH.","PLoS One. 2018 Apr 6;13(4):e0193489. doi: 10.1371/journal.pone.0193489. eCollection 2018.","Shi Q","PLoS One","2018","2018/04/07","PMC5889158","","10.1371/journal.pone.0193489"
"31096454","Development of Alzheimer disease in old major depressive patients based upon their health status: A retrospective study in Taiwan","Tao P, Yang SN, Tung YC, Yang MC.","Medicine (Baltimore). 2019 May;98(20):e15527. doi: 10.1097/MD.0000000000015527.","Tao P","Medicine (Baltimore)","2019","2019/05/18","PMC6531098","","10.1097/MD.0000000000015527"
"30424813","One-year mortality among hospital survivors of cholinesterase inhibitor poisoning based on Taiwan National Health Insurance Research Database from 2003 to 2012","Chuang MC, Chang CH, Lee CS, Li SH, Hsiao CC, Fang YF, Hsieh MJ.","BMC Pharmacol Toxicol. 2018 Nov 13;19(1):72. doi: 10.1186/s40360-018-0263-9.","Chuang MC","BMC Pharmacol Toxicol","2018","2018/11/15","PMC6234557","","10.1186/s40360-018-0263-9"
"30608587","Opportunities and challenges in Taiwan for implementing the learning health system","Wu CY, Huang CW, Yang HC, Li YJ.","Int J Qual Health Care. 2019 Nov 30;31(9):721-724. doi: 10.1093/intqhc/mzy250.","Wu CY","Int J Qual Health Care","2019","2019/01/05","","","10.1093/intqhc/mzy250"
"28515189","10-year trends in statin utilization in Taiwan: a retrospective study using Taiwan's National Health Insurance Research Database","Hsieh HC, Hsu JC, Lu CY.","BMJ Open. 2017 May 17;7(5):e014150. doi: 10.1136/bmjopen-2016-014150.","Hsieh HC","BMJ Open","2017","2017/05/19","PMC5541294","","10.1136/bmjopen-2016-014150"
"30833322","Risk of dementia after Parkinson's disease in Taiwan: a population-based retrospective cohort study using National Health Insurance claims","Liu CC, Sun Y, Lee PC, Li CY, Hu SC.","BMJ Open. 2019 Mar 3;9(3):e025274. doi: 10.1136/bmjopen-2018-025274.","Liu CC","BMJ Open","2019","2019/03/06","PMC6443071","","10.1136/bmjopen-2018-025274"
"28752508","Safety and Effectiveness of Intravenous Thrombolysis for Acute Ischemic Stroke Outside the Coverage of National Health Insurance in Taiwan","Su YH, Chen CH, Lin HJ, Chen YW, Tseng MC, Hsieh HC, Chen CH, Sung SF.","Acta Neurol Taiwan. 2017 Mar 15;26(1):3-12.","Su YH","Acta Neurol Taiwan","2017","2017/07/29","","",""
"31096476","Thyroid diseases increased the risk of type 2 diabetes mellitus: A nation-wide cohort study","Chen RH, Chen HY, Man KM, Chen SJ, Chen W, Liu PL, Chen YH, Chen WC.","Medicine (Baltimore). 2019 May;98(20):e15631. doi: 10.1097/MD.0000000000015631.","Chen RH","Medicine (Baltimore)","2019","2019/05/18","PMC6531080","","10.1097/MD.0000000000015631"
"29465594","Understanding the productive author who published papers in medicine using National Health Insurance Database: A systematic review and meta-analysis","Chien TW, Chang Y, Wang HY.","Medicine (Baltimore). 2018 Feb;97(8):e9967. doi: 10.1097/MD.0000000000009967.","Chien TW","Medicine (Baltimore)","2018","2018/02/22","PMC5841958","","10.1097/MD.0000000000009967"
"30521995","Stroke risk and outcomes in epilepsy patients: Two retrospective cohort studies based on National Health Insurance in Taiwan","Hsu SPC, Yeh CC, Chou YC, Shih CC, Hu CJ, Cherng YG, Chen TL, Liao CC.","Atherosclerosis. 2019 Jan;280:147-154. doi: 10.1016/j.atherosclerosis.2018.11.009. Epub 2018 Nov 23.","Hsu SPC","Atherosclerosis","2019","2018/12/07","","","10.1016/j.atherosclerosis.2018.11.009"
"28077135","Comorbidity study of borderline personality disorder: applying association rule mining to the Taiwan national health insurance research database","Shen CC, Hu LY, Hu YH.","BMC Med Inform Decis Mak. 2017 Jan 11;17(1):8. doi: 10.1186/s12911-016-0405-1.","Shen CC","BMC Med Inform Decis Mak","2017","2017/01/13","PMC5225571","","10.1186/s12911-016-0405-1"
"31273352","Three Nuclear Medicine diagnostic procedures and breast cancer mortality in women. A population-analysis in Taiwan based upon National Health Insurance database","Hung MC, Huang YY.","Hell J Nucl Med. 2019 May-Aug;22(2):111-115. doi: 10.1967/s002449911003. Epub 2019 Jul 7.","Hung MC","Hell J Nucl Med","2019","2019/07/06","","","10.1967/s002449911003"
"27332431","An Assessment of the Application of Pharma Cloud System to the National Health Insurance Program of Taiwan and the Result in Hospitals","Yan YH, Lu CL.","Stud Health Technol Inform. 2016;225:959-60.","Yan YH","Stud Health Technol Inform","2016","2016/06/23","","",""
"31870361","Investigating the causal effect of socioeconomic status on quality of care under a universal health insurance system - a marginal structural model approach","Cho HE, Wang L, Chen JS, Liu M, Kuo CF, Chung KC.","BMC Health Serv Res. 2019 Dec 23;19(1):987. doi: 10.1186/s12913-019-4793-7.","Cho HE","BMC Health Serv Res","2019","2019/12/25","PMC6929314","","10.1186/s12913-019-4793-7"
"27172935","Association between teriparatide treatment persistence and adherence, and fracture incidence in Taiwan: analysis using the National Health Insurance Research Database","Chan DC, Chang CH, Lim LC, Brnabic AJM, Tsauo JY, Burge R, Hsiao FY, Jin L, Gürbüz S, Yang RS.","Osteoporos Int. 2016 Sep;27(9):2855-2865. doi: 10.1007/s00198-016-3611-x. Epub 2016 May 12.","Chan DC","Osteoporos Int","2016","2016/05/14","PMC4981624","","10.1007/s00198-016-3611-x"
"28361405","Impact of Safety-Related Regulations on Codeine Use in Children: A Quasi-Experimental Study Using Taiwan's National Health Insurance Research Database","Lin CW, Wang CH, Huang WI, Ke WM, Chao PH, Chen WW, Hsiao FY.","Drug Saf. 2017 Jul;40(7):615-627. doi: 10.1007/s40264-017-0524-3.","Lin CW","Drug Saf","2017","2017/04/01","","","10.1007/s40264-017-0524-3"
"29908766","Beyond health care: Volunteer work, social participation, and late-life general cognitive status in Taiwan","Chiao C.","Soc Sci Med. 2019 May;229:154-160. doi: 10.1016/j.socscimed.2018.06.001. Epub 2018 Jun 7.","Chiao C","Soc Sci Med","2019","2018/06/18","","","10.1016/j.socscimed.2018.06.001"
"28884784","The Association Between the Use of Zolpidem and the Risk of Alzheimer's Disease Among Older People","Cheng HT, Lin FJ, Erickson SR, Hong JL, Wu CH.","J Am Geriatr Soc. 2017 Nov;65(11):2488-2495. doi: 10.1111/jgs.15018. Epub 2017 Sep 7.","Cheng HT","J Am Geriatr Soc","2017","2017/09/09","","","10.1111/jgs.15018"
"28558029","Association of anterior cruciate ligament injury with knee osteoarthritis and total knee replacement: A retrospective cohort study from the Taiwan National Health Insurance Database","Lin SH, Wang TC, Lai CF, Tsai RY, Yang CP, Wong CS.","PLoS One. 2017 May 30;12(5):e0178292. doi: 10.1371/journal.pone.0178292. eCollection 2017.","Lin SH","PLoS One","2017","2017/05/31","PMC5448760","","10.1371/journal.pone.0178292"
"28963293","Thiazide diuretics and the risk of hip fracture after stroke: a population-based propensity-matched cohort study using Taiwan's National Health Insurance Research Database","Lin SM, Yang SH, Cheng HY, Liang CC, Huang HK.","BMJ Open. 2017 Sep 27;7(9):e016992. doi: 10.1136/bmjopen-2017-016992.","Lin SM","BMJ Open","2017","2017/10/01","PMC5623561","","10.1136/bmjopen-2017-016992"
"28679673","Risk of dementia in patients with non-haemorrhagic stroke receiving acupuncture treatment: a nationwide matched cohort study from Taiwan's National Health Insurance Research Database","Shih CC, Yeh CC, Hu CJ, Lane HL, Tsai CC, Chen TL, Liao CC.","BMJ Open. 2017 Jul 5;7(6):e013638. doi: 10.1136/bmjopen-2016-013638.","Shih CC","BMJ Open","2017","2017/07/07","PMC5734214","","10.1136/bmjopen-2016-013638"
"27491287","Cost-effectiveness of granulocyte colony-stimulating factor prophylaxis in chemotherapy-induced febrile neutropenia among breast cancer and Non-Hodgkin's lymphoma patients under Taiwan's national health insurance system","Wen TJ, Wen YW, Chien CR, Chiang SC, Hsu WW, Shen LJ, Hsiao FY.","J Eval Clin Pract. 2017 Apr;23(2):288-293. doi: 10.1111/jep.12597. Epub 2016 Aug 4.","Wen TJ","J Eval Clin Pract","2017","2016/08/06","","","10.1111/jep.12597"
"30947595","The Provision of Health Care by Family Physicians in Taiwan as Illustrated With Population Pyramids","Wang YJ, Liu HY, Chen TJ, Hwang SJ, Chou LF, Lin MH.","Inquiry. 2019 Jan-Dec;56:46958019834830. doi: 10.1177/0046958019834830.","Wang YJ","Inquiry","2019","2019/04/06","PMC6452580","","10.1177/0046958019834830"
"29861208","Population-based comparison of traditional medicine use in adult patients with allergic rhinitis between South Korea and Taiwan","Huang CW, Hwang IH, Yun YH, Jang BH, Chen FP, Hwang SJ, Ko SG.","J Chin Med Assoc. 2018 Aug;81(8):708-713. doi: 10.1016/j.jcma.2017.12.008. Epub 2018 May 31.","Huang CW","J Chin Med Assoc","2018","2018/06/05","","","10.1016/j.jcma.2017.12.008"
"28219357","Prescription frequency and patterns of Chinese herbal medicine for liver cancer patients in Taiwan: a cross-sectional analysis of the National Health Insurance Research Database","Ting CT, Kuo CJ, Hu HY, Lee YL, Tsai TH.","BMC Complement Altern Med. 2017 Feb 20;17(1):118. doi: 10.1186/s12906-017-1628-0.","Ting CT","BMC Complement Altern Med","2017","2017/02/22","PMC5319102","","10.1186/s12906-017-1628-0"
"29488144","Anti-herpetic Medications and Reduced Risk of Dementia in Patients with Herpes Simplex Virus Infections-a Nationwide, Population-Based Cohort Study in Taiwan","Tzeng NS, Chung CH, Lin FH, Chiang CP, Yeh CB, Huang SY, Lu RB, Chang HA, Kao YC, Yeh HW, Chiang WS, Chou YC, Tsao CH, Wu YF, Chien WC.","Neurotherapeutics. 2018 Apr;15(2):417-429. doi: 10.1007/s13311-018-0611-x.","Tzeng NS","Neurotherapeutics","2018","2018/03/01","PMC5935641","","10.1007/s13311-018-0611-x"
"28494994","Predicting return visits to the emergency department for pediatric patients: Applying supervised learning techniques to the Taiwan National Health Insurance Research Database","Hu YH, Tai CT, Chen SC, Lee HW, Sung SF.","Comput Methods Programs Biomed. 2017 Jun;144:105-112. doi: 10.1016/j.cmpb.2017.03.022. Epub 2017 Mar 25.","Hu YH","Comput Methods Programs Biomed","2017","2017/05/13","","","10.1016/j.cmpb.2017.03.022"
"27991418","Medical Resource Utilization by Taiwanese Psychiatric Inpatients under the National Health Insurance System","Lee CB, Li CY, Lin CM.","J Ment Health Policy Econ. 2016 Dec 1;19(4):193-199.","Lee CB","J Ment Health Policy Econ","2016","2016/12/20","","",""
"28100075","Urinary Incontinence in Alzheimer's Disease","Lee HY, Li CC, Juan YS, Chang YH, Yeh HC, Tsai CC, Chueh KS, Wu WJ, Yang YH.","Am J Alzheimers Dis Other Demen. 2017 Feb;32(1):51-55. doi: 10.1177/1533317516680900. Epub 2016 Dec 18.","Lee HY","Am J Alzheimers Dis Other Demen","2017","2017/01/20","","","10.1177/1533317516680900"
"28213305","Risk of suicide according to the level of psychiatric contact in the older people: Analysis of national health insurance databases in Taiwan","Yeh ST, Ng YY, Wu SC.","Compr Psychiatry. 2017 Apr;74:189-195. doi: 10.1016/j.comppsych.2017.01.016. Epub 2017 Feb 1.","Yeh ST","Compr Psychiatry","2017","2017/02/19","","","10.1016/j.comppsych.2017.01.016"
"29481993","Long-term use of valproic acid and the prevalence of cancers in bipolar disorder patients in a Taiwanese population: An association analysis using the National Health Insurance Research Database (NHIRD)","Lin CC, Hsieh TC, Wu LS.","J Affect Disord. 2018 May;232:103-108. doi: 10.1016/j.jad.2018.02.047. Epub 2018 Feb 19.","Lin CC","J Affect Disord","2018","2018/02/27","","","10.1016/j.jad.2018.02.047"
"27348711","Utilization Pattern and Drug Use of Traditional Chinese Medicine, Western Medicine, and Integrated Chinese-Western Medicine Treatments for Allergic Rhinitis Under the National Health Insurance Program in Taiwan","Huang SK, Lai CS, Chang YS, Ho YL.","J Altern Complement Med. 2016 Oct;22(10):832-840. doi: 10.1089/acm.2015.0080. Epub 2016 Jun 27.","Huang SK","J Altern Complement Med","2016","2016/06/28","","","10.1089/acm.2015.0080"
"31167441","Health Disparities of Employees in Taiwan with Major Cancer Diagnosis from 2004 to 2015: A Nation- and Population-Based Analysis","Hsu YY, Bai CH, Wang CC, Chen WL, Wu WT, Lai CH.","Int J Environ Res Public Health. 2019 Jun 4;16(11):1982. doi: 10.3390/ijerph16111982.","Hsu YY","Int J Environ Res Public Health","2019","2019/06/07","PMC6603957","","10.3390/ijerph16111982"
"29219938","Correlations Among Self-Rated Health, Chronic Disease, and Healthcare Utilization in Widowed Older Adults in Taiwan","Ho SH.","J Nurs Res. 2018 Oct;26(5):308-315. doi: 10.1097/jnr.0000000000000248.","Ho SH","J Nurs Res","2018","2017/12/09","","","10.1097/jnr.0000000000000248"
"30987264","An Examination of the Determination of Medical Capacity under a National Health Insurance Program","Chen YT.","Int J Environ Res Public Health. 2019 Apr 3;16(7):1206. doi: 10.3390/ijerph16071206.","Chen YT","Int J Environ Res Public Health","2019","2019/04/17","PMC6479597","","10.3390/ijerph16071206"
"29415688","Risk of dementia in patients with primary insomnia: a nationwide population-based case-control study","Hung CM, Li YC, Chen HJ, Lu K, Liang CL, Liliang PC, Tsai YD, Wang KW.","BMC Psychiatry. 2018 Feb 7;18(1):38. doi: 10.1186/s12888-018-1623-0.","Hung CM","BMC Psychiatry","2018","2018/02/09","PMC5804010","","10.1186/s12888-018-1623-0"
"30313049","What happened to health service utilization, health care expenditures, and quality of care in patients with acute pancreatitis after implementation of global budgeting in Taiwan?","Ko YL, Wang JW, Hsu HM, Kao CH, Lin CY.","Medicine (Baltimore). 2018 Oct;97(41):e12620. doi: 10.1097/MD.0000000000012620.","Ko YL","Medicine (Baltimore)","2018","2018/10/14","PMC6203586","","10.1097/MD.0000000000012620"
"30648314","The Chang Gung Research Database-A multi-institutional electronic medical records database for real-world epidemiological studies in Taiwan","Shao SC, Chan YY, Kao Yang YH, Lin SJ, Hung MJ, Chien RN, Lai CC, Lai EC.","Pharmacoepidemiol Drug Saf. 2019 May;28(5):593-600. doi: 10.1002/pds.4713. Epub 2019 Jan 16.","Shao SC","Pharmacoepidemiol Drug Saf","2019","2019/01/17","","","10.1002/pds.4713"
"27176745","Cost evaluation of clinical laboratory in Taiwan's National Health System by using activity-based costing","Su BG, Chen SF, Yeh SH, Shih PW, Lin CC.","Clin Chem Lab Med. 2016 Nov 1;54(11):1753-1758. doi: 10.1515/cclm-2016-0193.","Su BG","Clin Chem Lab Med","2016","2016/05/14","","","10.1515/cclm-2016-0193"
"31383022","Risk of diabetes mellitus in physicians: a nationwide study in Taiwan","Lee SG, Feng IJ, Hsu CC, Wang YF, Yang CY, Wang JJ, Chung JY, Huang CC.","BMC Public Health. 2019 Aug 5;19(1):1047. doi: 10.1186/s12889-019-7403-z.","Lee SG","BMC Public Health","2019","2019/08/07","PMC6683438","","10.1186/s12889-019-7403-z"
"29704659","New Drug Reimbursement and Pricing Policy in Taiwan","Chen GT, Chang SC, Chang CJ.","Value Health Reg Issues. 2018 May;15:127-132. doi: 10.1016/j.vhri.2018.03.004. Epub 2018 Apr 26.","Chen GT","Value Health Reg Issues","2018","2018/04/29","","","10.1016/j.vhri.2018.03.004"
"30586400","Valuation of the EQ-5D-5L in Taiwan","Lin HW, Li CI, Lin FJ, Chang JY, Gau CS, Luo N, Pickard AS, Ramos Goñi JM, Tang CH, Hsu CN.","PLoS One. 2018 Dec 26;13(12):e0209344. doi: 10.1371/journal.pone.0209344. eCollection 2018.","Lin HW","PLoS One","2018","2018/12/27","PMC6306233","","10.1371/journal.pone.0209344"
"30122581","The characteristics and prescription patterns of Chinese herbal medicine in clinical practice for the treatment of anemia","Chen WD, Huang HS, Su YC, Chou SC, Ho WC, Kao MC, Lin HJ, Huang ST.","Taiwan J Obstet Gynecol. 2018 Aug;57(4):570-577. doi: 10.1016/j.tjog.2018.06.030.","Chen WD","Taiwan J Obstet Gynecol","2018","2018/08/21","","","10.1016/j.tjog.2018.06.030"
"29194539","A 10-year review of health care reform on Family Practice Integrated Care Project-Taiwan experience","Jan CF, Chiu TY, Chen CY, Guo FR, Lee MC.","Fam Pract. 2018 Jul 23;35(4):352-357. doi: 10.1093/fampra/cmx111.","Jan CF","Fam Pract","2018","2017/12/02","","","10.1093/fampra/cmx111"
"27585979","Utilization of dental care among patients with severe mental illness: a study of a National Health Insurance database","Teng PR, Lin MJ, Yeh LL.","BMC Oral Health. 2016 Sep 1;16(1):87. doi: 10.1186/s12903-016-0280-2.","Teng PR","BMC Oral Health","2016","2016/09/03","PMC5009687","","10.1186/s12903-016-0280-2"
"31300322","Trends in prevalence and incidence of diabetes mellitus from 2005 to 2014 in Taiwan","Sheen YJ, Hsu CC, Jiang YD, Huang CN, Liu JS, Sheu WH.","J Formos Med Assoc. 2019 Nov;118 Suppl 2:S66-S73. doi: 10.1016/j.jfma.2019.06.016. Epub 2019 Jul 9.","Sheen YJ","J Formos Med Assoc","2019","2019/07/14","","","10.1016/j.jfma.2019.06.016"
"31164130","Utilization and medical costs of outpatient rehabilitation among children with autism spectrum conditions in Taiwan","Li HJ, Chen CY, Tsai CH, Kuo CC, Chen KH, Chen KH, Li YC.","BMC Health Serv Res. 2019 Jun 4;19(1):354. doi: 10.1186/s12913-019-4193-z.","Li HJ","BMC Health Serv Res","2019","2019/06/06","PMC6549303","","10.1186/s12913-019-4193-z"
"30264375","An Investigation of Pharmacists' Acceptance of NHI-PharmaCloud in Taiwan","Liu MC, Lee CC.","J Med Syst. 2018 Sep 28;42(11):213. doi: 10.1007/s10916-018-1017-3.","Liu MC","J Med Syst","2018","2018/09/29","","","10.1007/s10916-018-1017-3"
"32228808","Policy Decisions and Use of Information Technology to Fight COVID-19, Taiwan","Lin C, Braund WE, Auerbach J, Chou JH, Teng JH, Tu P, Mullen J.","Emerg Infect Dis. 2020 Jul;26(7):1506-1512. doi: 10.3201/eid2607.200574. Epub 2020 Jun 21.","Lin C","Emerg Infect Dis","2020","2020/04/02","PMC7323533","","10.3201/eid2607.200574"
"31433202","Incidence of iatrogenic pneumothorax following acupuncture treatments in Taiwan","Lin SK, Liu JM, Hsu RJ, Chuang HC, Wang YX, Lin PH.","Acupunct Med. 2019 Dec;37(6):332-339. doi: 10.1136/acupmed-2018-011697. Epub 2019 Aug 21.","Lin SK","Acupunct Med","2019","2019/08/22","","","10.1136/acupmed-2018-011697"
"28911662","Pharmacokinetic interactions of herbal medicines for the treatment of chronic hepatitis","Hsueh TP, Lin WL, Tsai TH.","J Food Drug Anal. 2017 Apr;25(2):209-218. doi: 10.1016/j.jfda.2016.11.010. Epub 2016 Dec 22.","Hsueh TP","J Food Drug Anal","2017","2017/09/16","","","10.1016/j.jfda.2016.11.010"
"28594092","Understanding the relationship between cesarean birth and stress, anxiety, and depression after childbirth: A nationwide cohort study","Chen HH, Lai JC, Hwang SJ, Huang N, Chou YJ, Chien LY.","Birth. 2017 Dec;44(4):369-376. doi: 10.1111/birt.12295. Epub 2017 Jun 8.","Chen HH","Birth","2017","2017/06/09","","","10.1111/birt.12295"
"31267646","Factors of post-stroke dementia: A nationwide cohort study in Taiwan","Li CH, Chang YH, Chou MC, Chen CH, Ho BL, Hsieh SW, Yang YH.","Geriatr Gerontol Int. 2019 Aug;19(8):815-822. doi: 10.1111/ggi.13725. Epub 2019 Jul 2.","Li CH","Geriatr Gerontol Int","2019","2019/07/04","","","10.1111/ggi.13725"
